Info 0    [08:37:22.045] Starting TS Server
Info 18   [08:37:37.677] Elapsed:: 0.24268800020217896ms DirectoryWatcher:: Triggered with /home/munyiri/.cache/typescript/4.8/node_modules/types-registry 1:: WatchInfo: /home/munyiri/.cache/typescript/4.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 19   [08:37:41.285] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [08:37:41.367] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 82.39457300305367ms
Info 21   [08:37:41.367] Different program with same set of files
Info 22   [08:38:14.499] DirectoryWatcher:: Triggered with /home/munyiri/Test/TrackMyApplications/frontend/src/#MyStats.js# 0:: WatchInfo: /home/munyiri/Test/TrackMyApplications/frontend 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 23   [08:38:14.500] Elapsed:: 0.581477016210556ms DirectoryWatcher:: Triggered with /home/munyiri/Test/TrackMyApplications/frontend/src/#MyStats.js# 0:: WatchInfo: /home/munyiri/Test/TrackMyApplications/frontend 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 24   [08:38:59.130] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 25   [08:38:59.210] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 79.238165974617ms
Info 26   [08:38:59.210] Different program with same set of files
Info 27   [08:39:03.043] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 28   [08:39:03.091] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 47.32224199175835ms
Info 29   [08:39:03.091] Different program with same set of files
Info 30   [08:39:03.095] getCompletionData: Get current token: 0.06912398338317871
Info 31   [08:39:03.095] getCompletionData: Is inside comment: 0.12076801061630249
Info 32   [08:39:03.096] getCompletionData: Get previous token: 0.337304025888443
Info 33   [08:39:03.097] getCompletionsAtPosition: isCompletionListBlocker: 0.5526439845561981
Info 34   [08:39:03.106] getExportInfoMap: cache miss or empty; calculating new results
Info 35   [08:39:03.118] getExportInfoMap: done in 13.381720006465912 ms
Info 36   [08:39:03.131] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 16 from cache
Info 37   [08:39:03.131] collectAutoImports: response is complete
Info 38   [08:39:03.131] collectAutoImports: 10.585657984018326
Info 39   [08:39:03.131] getCompletionData: Semantic work: 33.903486013412476
Info 40   [08:39:03.164] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 32.485512018203735
Info 41   [08:39:03.223] getCompletionData: Get current token: 0.03117498755455017
Info 42   [08:39:03.223] getCompletionData: Is inside comment: 0.08850401639938354
Info 43   [08:39:03.223] getCompletionData: Get previous token: 0.1706179976463318
Info 44   [08:39:03.223] getCompletionsAtPosition: isCompletionListBlocker: 0.019904017448425293
Info 45   [08:39:03.228] getExportInfoMap: cache hit
Info 46   [08:39:03.230] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 16 from cache
Info 47   [08:39:03.230] collectAutoImports: response is complete
Info 48   [08:39:03.230] collectAutoImports: 2.229564994573593
Info 49   [08:39:03.230] getCompletionData: Semantic work: 7.170332998037338
Info 50   [08:39:03.263] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 31.64460200071335
Info 51   [08:39:03.274] getCompletionData: Get current token: 0.021984994411468506
Info 52   [08:39:03.274] getCompletionData: Is inside comment: 0.06261500716209412
Info 53   [08:39:03.274] getCompletionData: Get previous token: 0.09036800265312195
Info 54   [08:39:03.274] getCompletionsAtPosition: isCompletionListBlocker: 0.016874998807907104
Info 55   [08:39:03.285] getExportInfoMap: cache hit
Info 56   [08:39:03.287] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 16 from cache
Info 57   [08:39:03.287] collectAutoImports: response is complete
Info 58   [08:39:03.287] collectAutoImports: 2.1987909972667694
Info 59   [08:39:03.287] getCompletionData: Semantic work: 13.116650998592377
Info 60   [08:39:03.322] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 34.187353014945984
Info 61   [08:39:03.332] getCompletionData: Get current token: 0.029666006565093994
Info 62   [08:39:03.332] getCompletionData: Is inside comment: 0.07854300737380981
Info 63   [08:39:03.333] getCompletionData: Get previous token: 1.0311410129070282
Info 64   [08:39:03.333] getCompletionsAtPosition: isCompletionListBlocker: 0.022369027137756348
Info 65   [08:39:03.339] getExportInfoMap: cache hit
Info 66   [08:39:03.341] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 16 from cache
Info 67   [08:39:03.341] collectAutoImports: response is complete
Info 68   [08:39:03.341] collectAutoImports: 1.7030690014362335
Info 69   [08:39:03.341] getCompletionData: Semantic work: 7.530273973941803
Info 70   [08:39:03.372] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 26.291377007961273
Info 71   [08:39:03.376] getCompletionData: Get current token: 0.028790980577468872
Info 72   [08:39:03.376] getCompletionData: Is inside comment: 0.08904299139976501
Info 73   [08:39:03.376] getCompletionData: Get previous token: 0.09090998768806458
Info 74   [08:39:03.376] getCompletionsAtPosition: isCompletionListBlocker: 0.020133018493652344
Info 75   [08:39:03.383] getExportInfoMap: cache hit
Info 76   [08:39:03.387] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 16 from cache
Info 77   [08:39:03.387] collectAutoImports: response is complete
Info 78   [08:39:03.387] collectAutoImports: 3.283068001270294
Info 79   [08:39:03.387] getCompletionData: Semantic work: 10.284577012062073
Info 80   [08:39:03.406] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 19.434054017066956
Info 81   [08:39:03.412] getCompletionData: Get current token: 0.02818399667739868
Info 82   [08:39:03.412] getCompletionData: Is inside comment: 0.08892101049423218
Info 83   [08:39:03.412] getCompletionData: Get previous token: 0.15273499488830566
Info 84   [08:39:03.412] getCompletionsAtPosition: isCompletionListBlocker: 0.019620001316070557
Info 85   [08:39:03.416] getExportInfoMap: cache hit
Info 86   [08:39:03.418] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 16 from cache
Info 87   [08:39:03.418] collectAutoImports: response is complete
Info 88   [08:39:03.418] collectAutoImports: 1.6630490124225616
Info 89   [08:39:03.418] getCompletionData: Semantic work: 5.348776996135712
Info 90   [08:39:03.437] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 16.485087007284164
Info 91   [08:39:03.450] getCompletionData: Get current token: 0.027135014533996582
Info 92   [08:39:03.450] getCompletionData: Is inside comment: 0.07710000872612
Info 93   [08:39:03.450] getCompletionData: Get previous token: 0.14605700969696045
Info 94   [08:39:03.450] getCompletionsAtPosition: isCompletionListBlocker: 0.018920987844467163
Info 95   [08:39:03.453] getExportInfoMap: cache hit
Info 96   [08:39:03.455] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 16 from cache
Info 97   [08:39:03.455] collectAutoImports: response is complete
Info 98   [08:39:03.455] collectAutoImports: 1.430301010608673
Info 99   [08:39:03.455] getCompletionData: Semantic work: 4.438984990119934
Info 100  [08:39:03.468] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.401879996061325
Info 101  [08:39:03.472] getCompletionData: Get current token: 0.027815014123916626
Info 102  [08:39:03.472] getCompletionData: Is inside comment: 0.07579299807548523
Info 103  [08:39:03.472] getCompletionData: Get previous token: 0.13842499256134033
Info 104  [08:39:03.472] getCompletionsAtPosition: isCompletionListBlocker: 0.018344014883041382
Info 105  [08:39:03.475] getExportInfoMap: cache hit
Info 106  [08:39:03.479] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 16 from cache
Info 107  [08:39:03.479] collectAutoImports: response is complete
Info 108  [08:39:03.479] collectAutoImports: 3.2949890196323395
Info 109  [08:39:03.479] getCompletionData: Semantic work: 6.4267629981040955
Info 110  [08:39:03.497] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.41958498954773
Info 111  [08:39:03.505] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 112  [08:39:03.530] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 24.493006020784378ms
Info 113  [08:39:03.530] Different program with same set of files
Info 114  [08:39:03.531] getCompletionData: Get current token: 0.02790898084640503
Info 115  [08:39:03.531] getCompletionData: Is inside comment: 0.08168900012969971
Info 116  [08:39:03.531] getCompletionData: Get previous token: 0.15415802597999573
Info 117  [08:39:03.531] getCompletionsAtPosition: isCompletionListBlocker: 0.1189030110836029
Info 118  [08:39:03.534] getExportInfoMap: cache hit
Info 119  [08:39:03.535] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 120  [08:39:03.535] collectAutoImports: response is complete
Info 121  [08:39:03.535] collectAutoImports: 1.1525009870529175
Info 122  [08:39:03.535] getCompletionData: Semantic work: 4.194269001483917
Info 123  [08:39:03.556] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 20.072641015052795
Info 124  [08:39:03.563] getCompletionData: Get current token: 0.03065398335456848
Info 125  [08:39:03.563] getCompletionData: Is inside comment: 0.09213799238204956
Info 126  [08:39:03.564] getCompletionData: Get previous token: 0.15971100330352783
Info 127  [08:39:03.564] getCompletionsAtPosition: isCompletionListBlocker: 0.022357016801834106
Info 128  [08:39:03.566] getExportInfoMap: cache hit
Info 129  [08:39:03.567] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 130  [08:39:03.567] collectAutoImports: response is complete
Info 131  [08:39:03.567] collectAutoImports: 1.2609390020370483
Info 132  [08:39:03.568] getCompletionData: Semantic work: 3.8239409923553467
Info 133  [08:39:03.591] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 22.21576100587845
Info 134  [08:39:03.596] getCompletionData: Get current token: 0.028288990259170532
Info 135  [08:39:03.596] getCompletionData: Is inside comment: 0.08293598890304565
Info 136  [08:39:03.597] getCompletionData: Get previous token: 0.14106100797653198
Info 137  [08:39:03.597] getCompletionsAtPosition: isCompletionListBlocker: 0.024269014596939087
Info 138  [08:39:03.601] getExportInfoMap: cache hit
Info 139  [08:39:03.602] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 140  [08:39:03.602] collectAutoImports: response is complete
Info 141  [08:39:03.602] collectAutoImports: 0.7785989940166473
Info 142  [08:39:03.602] getCompletionData: Semantic work: 4.492789000272751
Info 143  [08:39:03.618] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 16.32896000146866
Info 144  [08:39:03.623] getCompletionData: Get current token: 0.017173022031784058
Info 145  [08:39:03.623] getCompletionData: Is inside comment: 0.042858004570007324
Info 146  [08:39:03.623] getCompletionData: Get previous token: 0.07167097926139832
Info 147  [08:39:03.623] getCompletionsAtPosition: isCompletionListBlocker: 0.0180949866771698
Info 148  [08:39:03.630] getExportInfoMap: cache hit
Info 149  [08:39:03.633] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 150  [08:39:03.633] collectAutoImports: response is complete
Info 151  [08:39:03.633] collectAutoImports: 2.727288991212845
Info 152  [08:39:03.633] getCompletionData: Semantic work: 10.204017013311386
Info 153  [08:39:03.651] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.389996021986008
Info 154  [08:39:03.659] getCompletionData: Get current token: 0.029495984315872192
Info 155  [08:39:03.659] getCompletionData: Is inside comment: 0.07990199327468872
Info 156  [08:39:03.659] getCompletionData: Get previous token: 0.13233399391174316
Info 157  [08:39:03.661] getCompletionsAtPosition: isCompletionListBlocker: 0.03168800473213196
Info 158  [08:39:03.663] getExportInfoMap: cache hit
Info 159  [08:39:03.665] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 160  [08:39:03.665] collectAutoImports: response is complete
Info 161  [08:39:03.665] collectAutoImports: 1.5523750185966492
Info 162  [08:39:03.665] getCompletionData: Semantic work: 4.648249000310898
Info 163  [08:39:03.680] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.265560001134872
Info 164  [08:39:03.683] getCompletionData: Get current token: 0.019405990839004517
Info 165  [08:39:03.684] getCompletionData: Is inside comment: 0.07972699403762817
Info 166  [08:39:03.684] getCompletionData: Get previous token: 0.12027901411056519
Info 167  [08:39:03.684] getCompletionsAtPosition: isCompletionListBlocker: 0.020155012607574463
Info 168  [08:39:03.687] getExportInfoMap: cache hit
Info 169  [08:39:03.688] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 170  [08:39:03.688] collectAutoImports: response is complete
Info 171  [08:39:03.688] collectAutoImports: 0.8832429945468903
Info 172  [08:39:03.688] getCompletionData: Semantic work: 3.9684460163116455
Info 173  [08:39:03.696] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.35927700996399
Info 174  [08:39:03.700] getCompletionData: Get current token: 0.016988009214401245
Info 175  [08:39:03.700] getCompletionData: Is inside comment: 0.04274100065231323
Info 176  [08:39:03.700] getCompletionData: Get previous token: 0.08992701768875122
Info 177  [08:39:03.701] getCompletionsAtPosition: isCompletionListBlocker: 0.02087000012397766
Info 178  [08:39:03.703] getExportInfoMap: cache hit
Info 179  [08:39:03.706] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 180  [08:39:03.706] collectAutoImports: response is complete
Info 181  [08:39:03.706] collectAutoImports: 2.671970009803772
Info 182  [08:39:03.706] getCompletionData: Semantic work: 5.644230008125305
Info 183  [08:39:03.720] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.22629800438881
Info 184  [08:39:03.725] getCompletionData: Get current token: 0.02865898609161377
Info 185  [08:39:03.725] getCompletionData: Is inside comment: 0.074055016040802
Info 186  [08:39:03.725] getCompletionData: Get previous token: 0.13057199120521545
Info 187  [08:39:03.725] getCompletionsAtPosition: isCompletionListBlocker: 0.021634995937347412
Info 188  [08:39:03.729] getExportInfoMap: cache hit
Info 189  [08:39:03.730] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 13 from cache
Info 190  [08:39:03.730] collectAutoImports: response is complete
Info 191  [08:39:03.730] collectAutoImports: 1.0506789982318878
Info 192  [08:39:03.730] getCompletionData: Semantic work: 4.760360985994339
Info 193  [08:39:03.739] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.138544023036957
Info 194  [08:39:03.747] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [08:39:03.762] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 14.669340014457703ms
Info 196  [08:39:03.762] Different program with same set of files
Info 197  [08:39:03.763] getCompletionData: Get current token: 0.02912202477455139
Info 198  [08:39:03.763] getCompletionData: Is inside comment: 0.07147800922393799
Info 199  [08:39:03.763] getCompletionData: Get previous token: 0.15998700261116028
Info 200  [08:39:03.763] getCompletionsAtPosition: isCompletionListBlocker: 0.01611301302909851
Info 201  [08:39:03.766] getExportInfoMap: cache hit
Info 202  [08:39:03.766] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 4 from cache
Info 203  [08:39:03.766] collectAutoImports: response is complete
Info 204  [08:39:03.766] collectAutoImports: 0.5119490027427673
Info 205  [08:39:03.766] getCompletionData: Semantic work: 3.342490017414093
Info 206  [08:39:03.782] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15.011525005102158
Info 207  [08:39:04.646] getCompletionData: Get current token: 0.061747997999191284
Info 208  [08:39:04.646] getCompletionData: Is inside comment: 0.11088597774505615
Info 209  [08:39:04.646] getCompletionData: Get previous token: 0.14485099911689758
Info 210  [08:39:04.647] getCompletionsAtPosition: isCompletionListBlocker: 0.03645700216293335
Info 211  [08:39:04.653] getExportInfoMap: cache hit
Info 212  [08:39:04.654] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 4 from cache
Info 213  [08:39:04.654] collectAutoImports: response is complete
Info 214  [08:39:04.654] collectAutoImports: 1.0604569911956787
Info 215  [08:39:04.654] getCompletionData: Semantic work: 7.713521987199783
Info 216  [08:39:04.687] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 28.81910800933838
Info 217  [08:39:04.693] getCompletionData: Get current token: 0.02739599347114563
Info 218  [08:39:04.694] getCompletionData: Is inside comment: 0.06464597582817078
Info 219  [08:39:04.694] getCompletionData: Get previous token: 0.11577001214027405
Info 220  [08:39:04.694] getCompletionsAtPosition: isCompletionListBlocker: 0.0212479829788208
Info 221  [08:39:04.698] getExportInfoMap: cache hit
Info 222  [08:39:04.700] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 4 from cache
Info 223  [08:39:04.700] collectAutoImports: response is complete
Info 224  [08:39:04.700] collectAutoImports: 1.49864000082016
Info 225  [08:39:04.700] getCompletionData: Semantic work: 5.7793900072574615
Info 226  [08:39:04.724] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 23.851117998361588
Info 227  [08:39:04.738] getCompletionData: Get current token: 0.02541401982307434
Info 228  [08:39:04.739] getCompletionData: Is inside comment: 0.06589999794960022
Info 229  [08:39:04.739] getCompletionData: Get previous token: 0.1168690025806427
Info 230  [08:39:04.739] getCompletionsAtPosition: isCompletionListBlocker: 0.021070003509521484
Info 231  [08:39:04.745] getExportInfoMap: cache hit
Info 232  [08:39:04.746] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 4 from cache
Info 233  [08:39:04.746] collectAutoImports: response is complete
Info 234  [08:39:04.746] collectAutoImports: 0.7917740046977997
Info 235  [08:39:04.746] getCompletionData: Semantic work: 7.36142098903656
Info 236  [08:39:04.763] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 16.601862013339996
Info 237  [08:39:04.767] getCompletionData: Get current token: 0.01624000072479248
Info 238  [08:39:04.767] getCompletionData: Is inside comment: 0.04255899786949158
Info 239  [08:39:04.767] getCompletionData: Get previous token: 0.08385801315307617
Info 240  [08:39:04.767] getCompletionsAtPosition: isCompletionListBlocker: 0.016481012105941772
Info 241  [08:39:04.769] getExportInfoMap: cache hit
Info 242  [08:39:04.769] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 4 from cache
Info 243  [08:39:04.769] collectAutoImports: response is complete
Info 244  [08:39:04.769] collectAutoImports: 0.46608301997184753
Info 245  [08:39:04.769] getCompletionData: Semantic work: 2.3996410071849823
Info 246  [08:39:04.781] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.811944991350174
Info 247  [08:39:04.785] getCompletionData: Get current token: 0.029857993125915527
Info 248  [08:39:04.785] getCompletionData: Is inside comment: 0.07275700569152832
Info 249  [08:39:04.785] getCompletionData: Get previous token: 0.13885098695755005
Info 250  [08:39:04.785] getCompletionsAtPosition: isCompletionListBlocker: 0.2255920171737671
Info 251  [08:39:04.787] getExportInfoMap: cache hit
Info 252  [08:39:04.788] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 4 from cache
Info 253  [08:39:04.788] collectAutoImports: response is complete
Info 254  [08:39:04.788] collectAutoImports: 0.5057740211486816
Info 255  [08:39:04.788] getCompletionData: Semantic work: 2.4087250232696533
Info 256  [08:39:04.797] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.018745005130768
Info 257  [08:39:04.800] getCompletionData: Get current token: 0.027519017457962036
Info 258  [08:39:04.800] getCompletionData: Is inside comment: 0.06927800178527832
Info 259  [08:39:04.800] getCompletionData: Get previous token: 0.12342700362205505
Info 260  [08:39:04.801] getCompletionsAtPosition: isCompletionListBlocker: 0.030198007822036743
Info 261  [08:39:04.803] getExportInfoMap: cache hit
Info 262  [08:39:04.806] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 4 from cache
Info 263  [08:39:04.806] collectAutoImports: response is complete
Info 264  [08:39:04.806] collectAutoImports: 2.2681809961795807
Info 265  [08:39:04.806] getCompletionData: Semantic work: 5.026088982820511
Info 266  [08:39:04.816] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.326069980859756
Info 267  [08:39:04.822] getCompletionData: Get current token: 0.028270989656448364
Info 268  [08:39:04.822] getCompletionData: Is inside comment: 0.07354101538658142
Info 269  [08:39:04.822] getCompletionData: Get previous token: 0.13155600428581238
Info 270  [08:39:04.822] getCompletionsAtPosition: isCompletionListBlocker: 0.02032598853111267
Info 271  [08:39:04.825] getExportInfoMap: cache hit
Info 272  [08:39:04.826] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 4 from cache
Info 273  [08:39:04.826] collectAutoImports: response is complete
Info 274  [08:39:04.826] collectAutoImports: 0.8762919902801514
Info 275  [08:39:04.826] getCompletionData: Semantic work: 3.7355659902095795
Info 276  [08:39:04.844] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17.36581200361252
Info 277  [08:39:04.853] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 278  [08:39:04.870] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 16.75271898508072ms
Info 279  [08:39:04.870] Different program with same set of files
Info 280  [08:39:04.871] getCompletionData: Get current token: 0.025582998991012573
Info 281  [08:39:04.872] getCompletionData: Is inside comment: 0.06615200638771057
Info 282  [08:39:04.876] getCompletionData: Get previous token: 4.1129379868507385
Info 283  [08:39:04.877] getCompletionsAtPosition: isCompletionListBlocker: 0.08843600749969482
Info 284  [08:39:04.881] getExportInfoMap: cache hit
Info 285  [08:39:04.882] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 1 from cache
Info 286  [08:39:04.882] collectAutoImports: response is complete
Info 287  [08:39:04.882] collectAutoImports: 0.3997510075569153
Info 288  [08:39:04.882] getCompletionData: Semantic work: 5.114484012126923
Info 289  [08:39:04.899] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17.318492978811264
Info 290  [08:39:04.911] getCompletionData: Get current token: 0.016416996717453003
Info 291  [08:39:04.911] getCompletionData: Is inside comment: 0.032669007778167725
Info 292  [08:39:04.911] getCompletionData: Get previous token: 0.05568099021911621
Info 293  [08:39:04.912] getCompletionsAtPosition: isCompletionListBlocker: 0.01786300539970398
Info 294  [08:39:04.914] getExportInfoMap: cache hit
Info 295  [08:39:04.914] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 1 from cache
Info 296  [08:39:04.914] collectAutoImports: response is complete
Info 297  [08:39:04.914] collectAutoImports: 0.4440760016441345
Info 298  [08:39:04.914] getCompletionData: Semantic work: 2.65419802069664
Info 299  [08:39:04.939] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 22.638016998767853
Info 300  [08:39:04.945] getCompletionData: Get current token: 0.028645992279052734
Info 301  [08:39:04.946] getCompletionData: Is inside comment: 0.16965898871421814
Info 302  [08:39:04.946] getCompletionData: Get previous token: 0.09538999199867249
Info 303  [08:39:04.946] getCompletionsAtPosition: isCompletionListBlocker: 0.022453010082244873
Info 304  [08:39:04.949] getExportInfoMap: cache hit
Info 305  [08:39:04.950] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 1 from cache
Info 306  [08:39:04.950] collectAutoImports: response is complete
Info 307  [08:39:04.950] collectAutoImports: 0.6723009943962097
Info 308  [08:39:04.950] getCompletionData: Semantic work: 4.359596997499466
Info 309  [08:39:04.968] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 16.03624600172043
Info 310  [08:39:04.979] getCompletionData: Get current token: 0.029496997594833374
Info 311  [08:39:04.979] getCompletionData: Is inside comment: 0.05981901288032532
Info 312  [08:39:04.979] getCompletionData: Get previous token: 0.10646200180053711
Info 313  [08:39:04.979] getCompletionsAtPosition: isCompletionListBlocker: 0.02017998695373535
Info 314  [08:39:04.985] getExportInfoMap: cache hit
Info 315  [08:39:04.986] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 1 from cache
Info 316  [08:39:04.986] collectAutoImports: response is complete
Info 317  [08:39:04.986] collectAutoImports: 0.6677039861679077
Info 318  [08:39:04.986] getCompletionData: Semantic work: 7.0457069873809814
Info 319  [08:39:05.000] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.167587995529175
Info 320  [08:39:05.007] getCompletionData: Get current token: 0.02848401665687561
Info 321  [08:39:05.007] getCompletionData: Is inside comment: 0.07989299297332764
Info 322  [08:39:05.007] getCompletionData: Get previous token: 0.09982800483703613
Info 323  [08:39:05.007] getCompletionsAtPosition: isCompletionListBlocker: 0.030414998531341553
Info 324  [08:39:05.021] getExportInfoMap: cache hit
Info 325  [08:39:05.022] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 1 from cache
Info 326  [08:39:05.022] collectAutoImports: response is complete
Info 327  [08:39:05.022] collectAutoImports: 0.6747300028800964
Info 328  [08:39:05.022] getCompletionData: Semantic work: 14.637408018112183
Info 329  [08:39:05.034] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11.68105798959732
Info 330  [08:39:05.039] getCompletionData: Get current token: 0.03283500671386719
Info 331  [08:39:05.039] getCompletionData: Is inside comment: 0.06141000986099243
Info 332  [08:39:05.039] getCompletionData: Get previous token: 0.1017490029335022
